,avgpss,batchid,computingsite,cpu_eff,cpuconsumptiontime,modificationhost,pandaid,wall_time
155,1305117.0,6434041,IN2P3-CC,0.92126733,11631,ccwsge0723,2858370024,12625
156,1742243.0,6402812,IN2P3-CC,0.9767853,8289,ccwsge0773,2857881049,8486
157,1267571.0,6434142,IN2P3-CC,0.9247891,11509,ccwsge0698,2858370396,12445
158,1754849.0,6403787,IN2P3-CC,0.97340834,8822,ccwsge0601,2857881222,9063
159,563931.0,6443047,IN2P3-CC,0.6203704,201,ccwsge0564,2858457105,324
160,1617913.0,6422008,IN2P3-CC,0.94164014,6212,ccwsge0243,2858198917,6597
161,1610856.0,6423153,IN2P3-CC,0.9657702,5530,ccwsge0594,2858198921,5726
162,926450.0,6452036,IN2P3-CC,0.91033304,1066,ccwsge0566,2858529547,1171
163,873743.0,6450261,IN2P3-CC,0.8489933,2024,ccwsge0338,2858458059,2384
164,1406112.0,6446495,IN2P3-CC,0.8696192,2101,ccwsge0766,2858484237,2416
165,203399.0,6452393,IN2P3-CC,0.24242425,80,ccwsge0584,2858535514,330
166,1194512.0,6446288,IN2P3-CC,0.90321255,2193,ccwsge0932,2858465525,2428
167,1205965.0,6446359,IN2P3-CC,0.8932119,2158,ccwsge0779,2858465533,2416
168,1178341.0,6446391,IN2P3-CC,0.9089616,1917,ccwsge0805,2858465536,2109
169,1216321.0,6446384,IN2P3-CC,0.89544237,2004,ccwsge0759,2858465541,2238
170,786765.0,6452760,IN2P3-CC,0.5947368,339,ccwsge0588,2858535896,570
171,1693198.0,6443727,IN2P3-CC,0.9597638,4389,ccwsge0581,2858465400,4573
172,1438903.0,6443723,IN2P3-CC,0.95470935,4237,ccwsge0147,2858465408,4438
173,1674371.0,6443725,IN2P3-CC,0.94459647,4143,ccwsge0209,2858465410,4386
174,2333012.0,6426537,IN2P3-CC,0.96449643,9318,ccwsge0608,2858292176,9661
175,1130487.0,6447310,IN2P3-CC,0.8931516,2817,ccwsge0930,2858491123,3154
176,1121206.0,6447307,IN2P3-CC,0.8698913,2320,ccwsge0763,2858491115,2667
177,1619157.0,6422009,IN2P3-CC,0.9690624,7173,ccwsge0761,2858198889,7402
178,1622160.0,6422959,IN2P3-CC,0.9531227,6486,ccwsge0177,2858198897,6805
179,1576796.0,6436802,IN2P3-CC,0.9436649,4506,ccwsge0271,2858380826,4775
180,883265.0,6447309,IN2P3-CC,0.7596491,433,ccwsge1147,2858491126,570
181,1571691.0,6423155,IN2P3-CC,0.9476273,6550,ccwsge0148,2858198947,6912
182,1074471.0,6448280,IN2P3-CC,0.92954487,3615,ccwsge0752,2858502368,3889
183,505789.0,6452150,IN2P3-CC,0.7006173,227,ccwsge0562,2858532379,324
184,1375353.0,6444385,IN2P3-CC,0.90428615,2806,ccwsge0601,2858446062,3103
185,2229311.0,6426508,IN2P3-CC,0.966237,10045,ccwsge0599,2858292196,10396
186,1624276.0,6446286,IN2P3-CC,0.8972538,1895,ccwsge0584,2858478274,2112
187,1536439.0,6442209,IN2P3-CC,0.91042686,2602,ccwsge0757,2856939140,2858
188,1644766.0,6442193,IN2P3-CC,0.9169753,2971,ccwsge0695,2856939158,3240
189,1726762.0,6417853,IN2P3-CC,0.97628665,16921,ccwsge0832,2858202721,17332
