COUNT(*)	SUM(MLENGTH)	SUM(MBYTES)	SCOPE	TRUNC(MEOL_AT,'MM')
4	2150	4790024495580	data11_7TeV	2110-10-01 00:00:00.0
2	1257	303435707	data12_8TeV	2019-04-01 00:00:00.0
2	2	5063992	data11_cvalid	2111-11-01 00:00:00.0
1	4	106501084	data08_1beammag	2009-01-01 00:00:00.0
2	2	17609810	data13_2p76TeV	2017-04-01 00:00:00.0
2	100	18046719120	mc15	2018-04-01 00:00:00.0
1	180	538064280057	valid3	2016-03-01 00:00:00.0
1	24992	184171062125	mc12_valid	2019-01-01 00:00:00.0
1	1	29204784	data08_cos	2019-02-01 00:00:00.0
2	1000	4220625148453	mc14_13TeV	2016-02-01 00:00:00.0
1	1	381800030	data09_cos	2010-05-01 00:00:00.0
1	38	91622133110	data12_8TeV	2013-12-01 00:00:00.0
1	10	3319914576	mc12_valid	2112-10-01 00:00:00.0
1	25	297931516	data12_cos	2015-06-01 00:00:00.0
1	314	12369578824	data10_7TeV	2025-04-01 00:00:00.0
1	1	19699855	data10_calocomm	2011-04-01 00:00:00.0
1	1	152220129	ddo	2008-10-01 00:00:00.0
20746	1763395	2983586946140004	mc15_13TeV	2017-01-01 00:00:00.0
6048	40322	401154788300	data_evind	2016-09-01 00:00:00.0
12733	220987	184990750466287	mc12_8TeV	2015-12-01 00:00:00.0
659	21750	28139129468101	data16_13TeV	2021-04-01 00:00:00.0
553	37464	72746251264520	data08_cosm7	2106-12-01 00:00:00.0
126	9700	14731687390872	data08_calocomm	2106-10-01 00:00:00.0
48820	3025529	4084184637047515	mc15_13TeV	2016-12-01 00:00:00.0
31223	9528100	2760601533142585	mc15_13TeV	2016-10-01 00:00:00.0
6542	291149	16124938206940	mc12_8TeV	2016-05-01 00:00:00.0
25179	85226	8047804499002	mc12_8TeV	2018-05-01 00:00:00.0
21160	2240472	1088546111606440	mc15_13TeV	2016-08-01 00:00:00.0
2193	423168	81758738504068	valid1	2017-11-01 00:00:00.0
19943	2209988	830596128521773	mc15_13TeV	2016-07-01 00:00:00.0
30191	1474607	1425984053786689	data15_13TeV	2016-12-01 00:00:00.0
500	259320	72873647118478	mc12_14TeV	2017-02-01 00:00:00.0
1924	32134	3854407373383	data15_cos	2020-04-01 00:00:00.0
38975	220371	22963318381771	mc12_8TeV	2018-02-01 00:00:00.0
17908	1644271	1740234336018414	data16_13TeV	2016-12-01 00:00:00.0
32163	914981	299644076297281	data15_13TeV	2017-01-01 00:00:00.0
1640	608485	632202949301006	data15_13TeV	2017-09-01 00:00:00.0
1455	3243	425930291630	data15_cos	2025-01-01 00:00:00.0
818	139380	89215957200853	valid1	2017-04-01 00:00:00.0
742	2961	2100028875720	data15_calib	2113-12-01 00:00:00.0
8	45999	376270033296	mc12_valid	2018-01-01 00:00:00.0
322	322	145599461662	data16_cos	2025-12-01 00:00:00.0
619	11718	11836845092760	data15_calib	2114-04-01 00:00:00.0
892	1154132	489544393454594	data15_13TeV	2017-11-01 00:00:00.0
2026	1336726	16902623873072	mc15_13TeV	2019-03-01 00:00:00.0
436	31110	5194301082322	mc14_13TeV	2017-12-01 00:00:00.0
6766	3185531	856768789089773	mc12_8TeV	2016-12-01 00:00:00.0
176	75256	33660674330454	mc12_14TeV	2017-01-01 00:00:00.0
1725	1873979	2426270829002159	data16_13TeV	2018-06-01 00:00:00.0
574	94346	12306190684680	data16_comm	2114-10-01 00:00:00.0
2878	128358	512049709964805	data12_8TeV	2017-07-01 00:00:00.0
81	103432	20545161870336	valid2	2018-06-01 00:00:00.0
879	94458	4882688099977	data16_13TeV	2026-04-01 00:00:00.0
1802	194522	89272273151133	data15_cos	2017-05-01 00:00:00.0
6	14488	2924619896505	data10_hi	2017-08-01 00:00:00.0
14	12375	1320657393062	data10_hi	2021-02-01 00:00:00.0
28	136679	25377374373213	data10_hi	2015-06-01 00:00:00.0
219	170301	88628580375500	mc15_14TeV	2017-05-01 00:00:00.0
167	4632	9197222140600	data14_cos	2113-02-01 00:00:00.0
621	138947	54531516847884	mc15_14TeV	2016-10-01 00:00:00.0
34	135	21053799431	data11_7TeV	2026-05-01 00:00:00.0
1788	256845	63171258359105	data15_cos	2017-04-01 00:00:00.0
317	5073	2632566982062	mc14_13TeV	2016-05-01 00:00:00.0
44	99	9999220246	data09_900GeV	2011-12-01 00:00:00.0
78	82	10152068581	data10_calocomm	2019-12-01 00:00:00.0
46	46	394067575	data10_muoncomm	2014-12-01 00:00:00.0
44	44	1674796378	data09_900GeV	2012-02-01 00:00:00.0
1391	279341	363607147496880	data10_7TeV	2108-11-01 00:00:00.0
134	134	12891792467	data10_cos	2020-03-01 00:00:00.0
5326	38999	4857509621918	data10_7TeV	2020-09-01 00:00:00.0
351	28426	37840542486380	data10_hi	2109-05-01 00:00:00.0
1276	437021	48295406981493	valid1	2018-04-01 00:00:00.0
534	132880	530814258257	data11_hi	2016-10-01 00:00:00.0
204	68512	255687700126218	data13_hip	2017-08-01 00:00:00.0
200	54925	29121410144570	mc15_13TeV	2015-12-01 00:00:00.0
20	0	0	data15_13TeV	2019-08-01 00:00:00.0
638	638	5178105770	data10_1beam	2015-02-01 00:00:00.0
400	34069	24118926055656	data10_comm	2109-01-01 00:00:00.0
586	3628	2763482592888	data10_calib	2109-02-01 00:00:00.0
291	44421	73496785226520	data08_cos	2107-06-01 00:00:00.0
58	58	1788859534	data09_muoncomm	2019-06-01 00:00:00.0
42	42	991739526	data09_muoncomm	2014-03-01 00:00:00.0
34	1300	853827703288	data09_calocomm	2107-12-01 00:00:00.0
11	11	285458215	data08_cosmag	2013-10-01 00:00:00.0
91	91	8356647926	data09_calophys	2019-07-01 00:00:00.0
304	31222	20657621488761	mc15_13TeV	2016-01-01 00:00:00.0
728	2435	214582091316	data09_900GeV	2019-11-01 00:00:00.0
37	99	6718963489	data09_cos	2019-11-01 00:00:00.0
47	2883	1265480797	data09_cos	2010-12-01 00:00:00.0
663	708	177035802262	data10_7TeV	2015-03-01 00:00:00.0
142	870	32638660939	data10_1beam	2012-03-01 00:00:00.0
600	2897	1859759160764	data10_calib	2109-04-01 00:00:00.0
13	15	22858727	data08_1beammag	2014-04-01 00:00:00.0
18	545	336195822	data08_1beammag	2010-02-01 00:00:00.0
408	489	12783656580	data08_calib	2107-04-01 00:00:00.0
42	42	6240202774	data10_cos	2020-07-01 00:00:00.0
422	422	9497826177	data09_cos	2014-09-01 00:00:00.0
43	30400	19458583328687	mc12_14TeV	2015-08-01 00:00:00.0
42	101	81081917884	data10_calib	2109-08-01 00:00:00.0
29	930	65685197306	data10_cos	2020-06-01 00:00:00.0
40	7580	11380552689420	data09_cos	2108-07-01 00:00:00.0
180	20475	9138357950788	data09_1beam	2108-06-01 00:00:00.0
45	3348	149126246290	data09_cos	2019-10-01 00:00:00.0
300	24404	4245418979864	data16_comm	2115-01-01 00:00:00.0
37	765	61954590604	valid3	2017-10-01 00:00:00.0
605	69951	18160338598891	data16_cos	2018-04-01 00:00:00.0
38	66473	8870164457	data10_hi	2019-09-01 00:00:00.0
13	9700	29149497623223	data10_hi	2017-06-01 00:00:00.0
271	8546	9661867839	mc_evind	2016-12-01 00:00:00.0
216	125301	57312738379129	mc12_14TeV	2016-06-01 00:00:00.0
301	453943	7315884280680	mc15_5TeV	2019-02-01 00:00:00.0
62	72	16066662976	data14_calib	2113-09-01 00:00:00.0
148	148	66770767426	data15_1beam	2025-02-01 00:00:00.0
299	932817	2313255777263	mc15_5TeV	2019-05-01 00:00:00.0
66	62	17735981174	sit	2016-06-01 00:00:00.0
85	34724	35309903312257	mc11_7TeV	2016-02-01 00:00:00.0
13	950	178863416055	mc12_14TeV	2018-04-01 00:00:00.0
176	26570	7709848781448	data_test	2114-05-01 00:00:00.0
18	7674	203402569344	data16_13TeV	2114-10-01 00:00:00.0
306	309	69163993531	data15_comm	2025-03-01 00:00:00.0
1326	5740	3255714735889	data11_7TeV	2016-09-01 00:00:00.0
94	6596	7007334198378	mc15_8TeV	2016-10-01 00:00:00.0
81	1785	1859113377207	data15_cos	2020-10-01 00:00:00.0
96	61983	88601280829391	data13_2p76TeV	2016-09-01 00:00:00.0
6	9056	3294961149237	mc12_7TeV	2016-08-01 00:00:00.0
196	12399	26994777624310	mc15_13TeV	2016-03-01 00:00:00.0
87	96660	25531208341789	valid2	2016-11-01 00:00:00.0
52	52	29493359180	sit	2016-08-01 00:00:00.0
159	24064	544032628040	data_test	2114-09-01 00:00:00.0
